,TB_base_volume,TB_quote_volume
0,1629236.53,7827117.228935
1,960488.14,4587088.56912
2,692153.1,3420048.439007
3,684460.83,3586066.202157
4,1508594.92,9508341.711694
5,1306556.37,8366883.931228
6,573413.66,3604347.785559
7,711150.35,4014645.941468
8,650343.25,3420868.857438
9,600185.41,3379276.29523
10,366470.75,2149080.921089
11,288221.34,1616697.283646
12,392330.97,2314513.369576
13,254411.15,1481922.866816
14,234601.52,1306909.870693
15,290153.23,1552623.602806
16,245250.76,1267331.119983
17,555202.97,2645325.42928
18,542944.11,2439883.135345
19,363259.02,1649602.428769
20,277269.18,1318205.311388
21,203712.63,956704.293419
22,160333.24,735198.052615
23,286334.25,1226766.709375
24,136649.14,582807.633457
25,215164.64,939998.5006
26,175670.91,780574.447485
27,63540.21,280975.456496
28,69273.21,303010.13907
29,132358.94,593329.406061
30,307973.42,1464192.646775
31,170205.97,796006.879151
32,383835.69,1960740.42879
33,273576.5,1467909.782101
34,162482.39,846806.913425
35,105431.11,551732.72002
36,87325.73,440542.373785
37,90407.09,445903.520841
38,87375.59,409464.229847
39,109323.81,525552.845422
